event_tapology_id,event_tapology_url,event_name,event_date_raw,event_date,promotion_name,promotion_tapology_id,promotion_tapology_url
34956,https://www.tapology.com/fightcenter/events/34956-the-ultimate-fighter-season-12-team-gsp-vs-team-koscheck,The Ultimate Fighter Season 12,2010-Jun 17,2010-06-17,TUF,1375,https://www.tapology.com/fightcenter/promotions/1375-the-ultimate-fighter-tuf
8057,https://www.tapology.com/fightcenter/events/8057-corral-s-combat-classic-evolution,Corral's Combat Classic,2009-Feb  7,2009-02-07,CCC,3517,https://www.tapology.com/fightcenter/promotions/3517-corral-s-combat-classic-ccc
13960,https://www.tapology.com/fightcenter/events/13960-road-fc-7-recharged,Road FC 7: Recharged,2012-Mar 24,2012-03-24,RFC,308,https://www.tapology.com/fightcenter/promotions/308-road-fighting-championship-rfc
3209,https://www.tapology.com/fightcenter/events/3209-spirit-mc-14-karma,Spirit MC 14,2008-Jan 20,2008-01-20,SMC,318,https://www.tapology.com/fightcenter/promotions/318-spirit-martial-challenge-smc
3210,https://www.tapology.com/fightcenter/events/3210-spirit-mc-13-heavyweight-grand-prix-final,Spirit MC 13,2007-Oct 14,2007-10-14,SMC,318,https://www.tapology.com/fightcenter/promotions/318-spirit-martial-challenge-smc
18842,https://www.tapology.com/fightcenter/events/18842-scl-thunderdome-2,SCL: Thunderdome 2,2013-Jun  8,2013-06-08,SCL,383,https://www.tapology.com/fightcenter/promotions/383-sparta-combat-league-scl
7551,https://www.tapology.com/fightcenter/events/7551-ring-wars,Ring Wars,2010-Jun 26,2010-06-26,RW,857,https://www.tapology.com/fightcenter/promotions/857-ring-wars-rw
4501,https://www.tapology.com/fightcenter/events/4501-superbrawl-10-gibson-vs-batastini,Superbrawl 10,1998-Nov 20,1998-11-20,,,
69182,https://www.tapology.com/fightcenter/events/69182-kickboxing-at-the-blaisdell-cureton-vs-alexio,Kickboxing At The Blaisdell,1996-Nov  2,1996-11-02,,,
102667,https://www.tapology.com/fightcenter/events/102667-vbk-2,VBK 2: Wiuff vs. Lavar,2023-Oct 27,2023-10-27,VBK,3163,https://www.tapology.com/fightcenter/promotions/3163-valor-bare-knuckle-vbk
20009,https://www.tapology.com/fightcenter/events/20009-coco-beach-brawl,Coco Beach Brawl,2012-Apr 28,2012-04-28,,,
10382,https://www.tapology.com/fightcenter/events/10382-fight-tour-sylvia-vs-adams,Fight Tour: Sylvia vs Barrentine,2011-Aug 20,2011-08-20,,,
74631,https://www.tapology.com/fightcenter/events/74631-ultimate-boxing-5-ivory-vs-echols,Ultimate Boxing 5,2000-Feb 17,2000-02-17,,,
74634,https://www.tapology.com/fightcenter/events/74634-rumbolz-vs-oshana,Rumbolz vs. Oshana,1997-Apr  9,1997-04-09,,,
74630,https://www.tapology.com/fightcenter/events/74630-ultimate-boxing-4-virgil-vs-camlin,Ultimate Boxing 4,1996-Sep 28,1996-09-28,,,
74628,https://www.tapology.com/fightcenter/events/74628-ultimate-boxing-2-virgil-vs-clark,Ultimate Boxing 2,1996-Jun 16,1996-06-16,,,
105939,https://www.tapology.com/fightcenter/events/105939-rumble-in-paradise-7,Rumble in Paradise 7,2023-Sep 30,2023-09-30,,,
93702,https://www.tapology.com/fightcenter/events/93702-shvab-vs-cuadro,Shvab vs. Cuadro,2022-Oct  1,2022-10-01,SBP,3563,https://www.tapology.com/fightcenter/promotions/3563-shuan-boxing-promotions-sbp
92246,https://www.tapology.com/fightcenter/events/92246-ramirez-vs-shvab,Ramirez vs. Shvab,2022-Aug 20,2022-08-20,SBP,3563,https://www.tapology.com/fightcenter/promotions/3563-shuan-boxing-promotions-sbp
74315,https://www.tapology.com/fightcenter/events/74315-global-legion-fc-17-miami,Global Legion FC 17,2020-Dec 12,2020-12-12,GLFC,3222,https://www.tapology.com/fightcenter/promotions/3222-global-legion-fc-glfc
72661,https://www.tapology.com/fightcenter/events/72661-global-legion-fc-16-battle-of-the-bridges,Global Legion FC 16,2020-Sep 26,2020-09-26,GLFC,3222,https://www.tapology.com/fightcenter/promotions/3222-global-legion-fc-glfc
91286,https://www.tapology.com/fightcenter/events/91286-one-championship-162,ONE Championship 162,2022-Oct 21,2022-10-21,ONE,61,https://www.tapology.com/fightcenter/promotions/61-one-fighting-championship-ofc
52844,https://www.tapology.com/fightcenter/events/52844-one-championship-spirit-of-a-warrior,ONE Championship,2018-Jun 29,2018-06-29,ONE,61,https://www.tapology.com/fightcenter/promotions/61-one-fighting-championship-ofc
13202,https://www.tapology.com/fightcenter/events/13202-one-fc-4,ONE FC 4: Destiny of Warriors,2012-Jun 23,2012-06-23,ONE,61,https://www.tapology.com/fightcenter/promotions/61-one-fighting-championship-ofc
