id,tapology_promotion_id,tapology_slug,name,baseline_strength,sport_type
26773898-0baa-53b5-9779-9cc544f3021f,16,16-cage-rage-uk-cruk,Ultimate Challenge MMA,0.50200,mma
fab59be4-b597-516f-b6fe-8b1324659bbb,21,21-ring-of-fire-rof,Ring of Fire,0.50150,mma
f5f75698-512f-50a7-bbbc-636a4789056a,4144,4144-akhmat-boxing-ab,Akhmat Boxing,0.50100,boxing
db549703-c192-5ac2-9ed4-d930f8a50f8c,46,46-sportfight-sf,SportFight,0.50100,mma
7887d862-632b-5c88-bb5b-c661df18bdbf,2165,2165-rcc-boxing-promotions-rcc,RCC Boxing Promotions,0.50090,mma
be27b59d-d554-5d0e-9520-2cc395a8f9c0,252,252-smackgirl,Smackgirl,0.50080,mma
292e7ef1-8e8c-5c16-a4a8-1541d938d8e6,1218,1218-tymex-boxing-promotion-tbp,Tymex Boxing Promotion,0.50070,mma
2800a66f-8e04-500c-8689-d560ccba5484,3819,3819-big-deal-pro-bdp,Big Deal Pro,0.50000,grappling
3d1a1954-654b-5479-b34e-2f3ffb74583d,3358,3358-substars,SubStars,0.50000,grappling
ce2b852b-f276-55fb-a8de-29e48ec5e373,5059,5059-hardcore-fc-hfc,Hardcore FC,0.50000,knuckle
44ea043e-53a2-5b14-8ebb-42d5bca3df9e,4619,4619-power-slap-pslap,Power Slap,0.50000,slap
196871fe-3572-532d-8685-cf07659489b1,151,151-jungle-fight-championship-jfc,Jungle Fight Championship,0.49400,mma
ad9065b9-d91c-5816-a7c8-eaf9736c9b10,3732,3732-maximus-boxing-promotions-mbp,Extreme Maximus Boxing Promotions,0.49200,boxing
89588c8c-0fc7-5f24-ba52-7bc2d2e05c1d,1042,1042-abu-dhabi-fighting-championships-adfc,Abu Dhabi Fighting Championships,0.49200,mma
d19c011b-9393-559b-9cde-0317312f626e,940,940-aspera-fighting-championship-afc,Aspera N1,0.49150,mma
5361c1df-4202-57ee-91e0-506608f8e2a5,4746,4746-highland-boxing-team-hbt,Highland Boxing Team,0.49100,boxing
7fefb8ea-f808-5404-81f9-ac39b51f48d6,105,105-battlefield-fight-league-bfl,Battlefield Fight League,0.49100,mma
71d8c9b4-ff55-5770-8dab-5016984d13de,792,792-arena-tour-at,Arena Tour,0.49050,mma
acf81f25-7d6d-5fe0-bed5-4407ca0b422f,5064,5064-blue-collar-fight-club-bcfc,Blue Collar Fight Club,0.49000,grappling
aff11a44-43a5-52ff-95d4-fc61d14d292b,3083,3083-world-jiu-jitsu-festival-wjjf,World Jiu Jitsu Festival,0.49000,grappling
390526c1-77a7-515c-8cee-884bbe489b11,57,57-cage-fury-fighting-championships-cffc,Cage Fury Fighting Championships,0.48800,mma
ccfb7c93-c909-5ca0-9aaa-939b39125a72,709,709-eternal-mma-emma,Eternal MMA,0.48700,mma
fc37eea1-b4c9-5b3c-aafb-155f96489829,154,154-shogun-fights-sf,Shogun Fights,0.48600,mma
c262e7ed-4b54-5f23-80fc-4f93f8a50384,113,113-pacific-x-treme-combat-pxc,Pacific X-treme Combat,0.48550,mma
f7fe1bb1-5e0a-538a-8159-840d78c504d1,85,85-spartan-fighting-championship-sfc,Spartan Fighting Championship,0.48500,mma
