uuid,event_id,name,date,location,num_fights,url
555bc650-5e7d-5f69-8912-f4b6be41eba2,380e8b023290d091,UFC 195: Lawler vs Condit,2016-01-02,"Las Vegas, Nevada, USA",12,http://www.ufcstats.com/event-details/380e8b023290d091
4cd74aed-60b4-5529-8eff-d0ecd2bffc74,c6becb722706c7d8,UFC Fight Night: Dillashaw vs Cruz,2016-01-17,"Boston, Massachusetts, USA",13,http://www.ufcstats.com/event-details/c6becb722706c7d8
b913317e-948a-5e5a-9f35-be5424b1d694,b3fb8d2293e17a59,UFC on FOX: Johnson vs. Bader,2016-01-30,"Newark, New Jersey, USA",13,http://www.ufcstats.com/event-details/b3fb8d2293e17a59
23859aa1-0597-550a-ab13-7f50954d42e6,de99da2c0d18d34a,UFC Fight Night: Hendricks vs Thompson,2016-02-06,"Las Vegas, Nevada, USA",12,http://www.ufcstats.com/event-details/de99da2c0d18d34a
991cfbd5-3ca5-5b37-b790-a5cefd181a27,d56bb6dff2ae77eb,UFC Fight Night: Cowboy vs Cowboy,2016-02-21,"Pittsburgh, Pennsylvania, USA",13,http://www.ufcstats.com/event-details/d56bb6dff2ae77eb
af84f708-b5fb-5996-9e7f-13917ea9dbb3,39c568f8c579913e,UFC Fight Night: Silva vs Bisping,2016-02-27,"London, England, United Kingdom",13,http://www.ufcstats.com/event-details/39c568f8c579913e
28a86872-a2e8-5432-9d79-713d6d04f83e,db1f2ed63b54b9a7,UFC 196: McGregor vs Diaz,2016-03-05,"Las Vegas, Nevada, USA",12,http://www.ufcstats.com/event-details/db1f2ed63b54b9a7
20f49dc2-ae54-53e8-8170-f6498b081007,e60201cfab7d656d,UFC Fight Night: Hunt vs Mir,2016-03-19,"Brisbane, Queensland, Australia",12,http://www.ufcstats.com/event-details/e60201cfab7d656d
b06e8b20-d532-5e77-9cb0-25ecd194f597,4887e5bc4dbb73ff,UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,"Zagreb, Croatia",13,http://www.ufcstats.com/event-details/4887e5bc4dbb73ff
c0ea2e63-94ec-5865-b324-7b950bb1a84a,e7e970d508529bf3,UFC on FOX: Teixeira vs Evans,2016-04-16,"Tampa, Florida, USA",11,http://www.ufcstats.com/event-details/e7e970d508529bf3
94355131-d1c4-503f-82ab-ee895c4a1dd9,3d481aa374c954a1,UFC 197: Jones vs Saint Preux,2016-04-23,"Las Vegas, Nevada, USA",12,http://www.ufcstats.com/event-details/3d481aa374c954a1
